번호,구분,name,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,WGS84위도,WGS84경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자,소재지도로명주소,latitude,longitude
1,공중화장실,롯데리아구산점,서울특별시 은평구 서오릉로 137 (역촌동),,1,2,0,0,0,0,2,0,0,롯데리아구산점,,24시간,,,,지방자치단체,기타,수세식,N,없음,N,N,없음,,2020-08-05,서울특별시 은평구 서오릉로 137 (역촌동),37.6107682,126.9175972
2,공중화장실,유니클로 은평점 화장실,서울특별시 은평구 서오릉로 32 (녹번동),,1,0,0,0,0,0,2,0,0,유니클로 은평점,,24시간,,,,지방자치단체,상업시설,수세식,N,없음,N,Y,남자화장실+여자화장실,,2020-08-05,서울특별시 은평구 서오릉로 32 (녹번동),37.6044476,126.9253183
3,공중화장실,평화공원지하 공영주차장 공중화장실,서울특별시 은평구 서오릉로 47,,0,0,0,0,0,0,0,0,0,은평구 교통지도과,,24시간,,,,지방자치단체,교통시설,수세식,Y,여자화장실,Y,Y,여자화장실,,2020-08-05,서울특별시 은평구 서오릉로 47,37.6053279,126.9231157
4,공중화장실,부자만두 화장실,서울특별시 은평구 서오릉로 6 (녹번동),,1,1,0,0,0,0,2,0,0,부자만두,,24시간,,,,지방자치단체,상업시설,수세식,N,없음,N,N,없음,,2020-08-05,서울특별시 은평구 서오릉로 6 (녹번동),37.6021804,126.9271699
5,공중화장실,은평구평생학습관 공중화장실,"서울특별시 은평구 서오릉로 87 (역촌동, 은평구평생학습관)",,2,1,0,0,0,0,3,0,0,은평구평생학습관,,9:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-08-05,"서울특별시 은평구 서오릉로 87 (역촌동, 은평구평생학습관)",37.6077914,126.9211702
6,공중화장실,삼정스포렉스 상가 화장실,서울특별시 은평구 서오릉로 94 삼정스포렉스 상가(대조동),,3,3,0,0,0,0,3,0,0,은평구 삼정스포렉스 상가,,24시간,,,,지방자치단체,관광·체육시설,수세식,N,없음,N,N,없음,,2020-08-05,서울특별시 은평구 서오릉로 94 삼정스포렉스 상가(대조동),37.6090292,126.9217299
7,공중화장실,역촌역 화장실,"서울특별시 은평구 서오릉로 지하 63 (녹번동, 6호선 역촌역사무소)",,4,6,0,0,0,0,5,0,0,서울교통공사,,24시간,,,,지방자치단체,교통시설,수세식,Y,장애인화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2020-08-05,"서울특별시 은평구 서오릉로 지하 63 (녹번동, 6호선 역촌역사무소)",37.6005677,126.938577
8,공중화장실,수색역 화장실,"서울특별시 은평구 수색로 261-1 (수색동, 수색역)",,6,11,0,0,0,0,15,0,0,서울교통공사,,24시간,,,,지방자치단체,교통시설,수세식,Y,장애인화장실+여자화장실,N,Y,여자화장실,,2020-08-05,"서울특별시 은평구 수색로 261-1 (수색동, 수색역)",37.5805684,126.8958386
9,공중화장실,디지털미디어시티역 화장실,"서울특별시 은평구 수색로 지하 175 (증산동, 6호선 디지털미디어시티역)",,3,5,0,0,0,0,5,0,0,서울교통공사,,24시간,,,,지방자치단체,교통시설,수세식,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2020-08-05,"서울특별시 은평구 수색로 지하 175 (증산동, 6호선 디지털미디어시티역)",37.5821436,126.9062444
10,개방화장실,순복음교회 개방화장실,"서울특별시 은평구 역말로8길 25 (대조동, 순복음교회)",,3,3,0,0,0,0,5,0,0,순복음교회,,24시간,,,,지방자치단체,기타,수세식,N,없음,N,N,없음,,2020-08-05,"서울특별시 은평구 역말로8길 25 (대조동, 순복음교회)",37.6091388,126.9234531
